序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
136,接收,19:10:07.018.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
137,接收,19:10:07.028.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D2 FF ,
138,接收,19:10:07.028.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
139,接收,19:10:07.038.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
140,接收,19:10:07.038.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
141,接收,19:10:07.139.0,0x00000301,标准帧,数据帧,0x08,68 3C 3E 3C 00 00 00 00 ,
142,接收,19:10:07.139.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
143,接收,19:10:07.139.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
144,接收,19:10:07.139.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
145,接收,19:10:07.139.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
146,接收,19:10:07.139.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
147,接收,19:10:07.139.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
148,接收,19:10:07.139.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
149,接收,19:10:07.210.0,0x00000301,标准帧,数据帧,0x08,6D 3C 4C 3C 00 00 00 00 ,
150,接收,19:10:07.211.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
151,接收,19:10:07.219.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
152,接收,19:10:07.219.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
153,接收,19:10:07.229.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D6 FF ,
154,接收,19:10:07.229.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 69 3B ,
155,接收,19:10:07.239.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
156,接收,19:10:07.239.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
157,接收,19:10:07.317.0,0x00000301,标准帧,数据帧,0x08,6D 3C 41 3C 00 00 00 00 ,
158,接收,19:10:07.317.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
159,接收,19:10:07.319.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
160,接收,19:10:07.319.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
161,接收,19:10:07.338.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7E 3C D4 FF ,
162,接收,19:10:07.338.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 69 3B ,
163,接收,19:10:07.340.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
164,接收,19:10:07.340.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
165,接收,19:10:07.410.0,0x00000301,标准帧,数据帧,0x08,68 3C 48 3C 00 00 00 00 ,
166,接收,19:10:07.410.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
167,接收,19:10:07.419.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
168,接收,19:10:07.419.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
169,接收,19:10:07.429.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D6 FF ,
170,接收,19:10:07.429.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 69 3B ,
171,接收,19:10:07.439.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
172,接收,19:10:07.439.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
173,接收,19:10:07.516.0,0x00000301,标准帧,数据帧,0x08,68 3C 43 3C 00 00 00 00 ,
174,接收,19:10:07.516.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
175,接收,19:10:07.537.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
176,接收,19:10:07.537.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
177,接收,19:10:07.538.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
178,接收,19:10:07.538.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 69 3B ,
179,接收,19:10:07.539.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
180,接收,19:10:07.539.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
181,接收,19:10:07.610.0,0x00000301,标准帧,数据帧,0x08,68 3C 43 3C 00 00 00 00 ,
182,接收,19:10:07.610.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
183,接收,19:10:07.619.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
184,接收,19:10:07.619.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
185,接收,19:10:07.629.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D6 FF ,
186,接收,19:10:07.629.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
187,接收,19:10:07.638.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
188,接收,19:10:07.638.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
189,接收,19:10:07.716.0,0x00000301,标准帧,数据帧,0x08,68 3C 41 3C 00 00 00 00 ,
190,接收,19:10:07.716.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
191,接收,19:10:07.739.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
192,接收,19:10:07.739.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
193,接收,19:10:07.739.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D4 FF ,
194,接收,19:10:07.739.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
195,接收,19:10:07.739.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
196,接收,19:10:07.739.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
