Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
4365,Receive,19:10:49.719.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4366,Receive,19:10:49.719.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4367,Receive,19:10:49.740.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D6 FF ,
4368,Receive,19:10:49.740.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4369,Receive,19:10:49.740.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4370,Receive,19:10:49.740.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4371,Receive,19:10:49.812.0,0x00000604,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4372,Receive,19:10:49.812.0,0x00000605,Standard,Data,0x08,00 00 00 00 01 00 00 00 ,
4373,Receive,19:10:49.812.0,0x00000606,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4374,Receive,19:10:49.812.0,0x00000301,Standard,Data,0x08,68 3C 13 3C 00 00 00 00 ,
4375,Receive,19:10:49.812.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4376,Receive,19:10:49.812.0,0x00000402,Standard,Data,0x08,01 00 00 00 F8 25 00 00 ,
4377,Receive,19:10:49.812.0,0x00000403,Standard,Data,0x08,64 00 00 00 E3 C3 07 00 ,
4378,Receive,19:10:49.817.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4379,Receive,19:10:49.817.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4380,Receive,19:10:49.818.0,0x00000405,Standard,Data,0x08,10 0C 10 0C 13 0C 14 0C ,
4381,Receive,19:10:49.818.0,0x00000406,Standard,Data,0x08,07 0C 1B 0C 17 0C 14 0C ,
4382,Receive,19:10:49.828.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
4383,Receive,19:10:49.828.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4384,Receive,19:10:49.829.0,0x00000407,Standard,Data,0x04,17 0C 1D 0C ,
4385,Receive,19:10:49.829.0,0x00000408,Standard,Data,0x04,96 09 00 00 ,
4386,Receive,19:10:49.837.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4387,Receive,19:10:49.837.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4388,Receive,19:10:49.838.0,0x00000409,Standard,Data,0x08,E5 E4 E5 C6 E5 E5 E8 E5 ,
4389,Receive,19:10:49.838.0,0x00000506,Standard,Data,0x07,07 0C 1D 0C A5 E4 E5 ,
4390,Receive,19:10:49.848.0,0x00000509,Standard,Data,0x03,3F 84 01 ,
4391,Receive,19:10:49.848.0,0x0000050a,Standard,Data,0x03,E6 E6 E7 ,
4392,Receive,19:10:49.857.0,0x0000050d,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4393,Receive,19:10:49.858.0,0x0000050d,Standard,Data,0x08,01 BB 03 00 00 00 00 00 ,
4394,Receive,19:10:49.916.0,0x00000301,Standard,Data,0x08,68 3C 14 3C 00 00 00 00 ,
4395,Receive,19:10:49.916.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4396,Receive,19:10:49.938.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4397,Receive,19:10:49.938.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4398,Receive,19:10:49.938.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D4 FF ,
4399,Receive,19:10:49.938.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4400,Receive,19:10:49.938.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4401,Receive,19:10:49.938.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
4402,Receive,19:10:50.011.0,0x00000301,Standard,Data,0x08,6D 3C 12 3C 00 00 00 00 ,
4403,Receive,19:10:50.011.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4404,Receive,19:10:50.018.0,0x00000303,Standard,Data,0x04,B2 00 36 1E ,
4405,Receive,19:10:50.018.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
