Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
123,Receive,10:43:01.393.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
124,Receive,10:43:01.404.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
125,Receive,10:43:01.463.0,0x00000301,Data,Standard,0x08,ac 44 79 2a fe ff 00 00 
126,Receive,10:43:01.463.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
127,Receive,10:43:01.472.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
128,Receive,10:43:01.472.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
129,Receive,10:43:01.482.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d7 ff 
130,Receive,10:43:01.482.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
131,Receive,10:43:01.493.0,0x0000030b,Data,Standard,0x01,00 
132,Receive,10:43:01.493.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
133,Receive,10:43:01.504.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
134,Receive,10:43:01.566.0,0x00000301,Data,Standard,0x08,ac 44 84 29 fe ff 00 00 
135,Receive,10:43:01.566.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
136,Receive,10:43:01.572.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
137,Receive,10:43:01.572.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
138,Receive,10:43:01.592.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d7 ff 
139,Receive,10:43:01.592.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
