Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
190,Receive,15:16:37.809.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c c8 ff 
191,Receive,15:16:37.809.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
192,Receive,15:16:37.809.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
193,Receive,15:16:37.809.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
194,Receive,15:16:37.881.0,0x00000301,Data,Standard,0x08,5a 46 5b 00 00 00 00 00 
195,Receive,15:16:37.881.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
196,Receive,15:16:37.890.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
197,Receive,15:16:37.890.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
198,Receive,15:16:37.901.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ca ff 
199,Receive,15:16:37.901.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
200,Receive,15:16:37.910.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
201,Receive,15:16:37.910.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
202,Receive,15:16:37.982.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
203,Receive,15:16:37.982.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
204,Receive,15:16:38.009.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
205,Receive,15:16:38.009.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
206,Receive,15:16:38.009.0,0x00000309,Data,Standard,0x08,63 a7 00 46 83 3c ca ff 
207,Receive,15:16:38.009.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
208,Receive,15:16:38.009.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
209,Receive,15:16:38.009.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
210,Receive,15:16:38.081.0,0x00000301,Data,Standard,0x08,5a 46 5c 00 00 00 00 00 
211,Receive,15:16:38.081.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
212,Receive,15:16:38.090.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
213,Receive,15:16:38.090.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
214,Receive,15:16:38.099.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ce ff 
215,Receive,15:16:38.099.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
216,Receive,15:16:38.110.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
217,Receive,15:16:38.110.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
218,Receive,15:16:38.182.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
219,Receive,15:16:38.182.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
220,Receive,15:16:38.210.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
221,Receive,15:16:38.210.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
222,Receive,15:16:38.210.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c c6 ff 
223,Receive,15:16:38.210.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
224,Receive,15:16:38.210.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
225,Receive,15:16:38.210.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
226,Receive,15:16:38.280.0,0x00000301,Data,Standard,0x08,5a 46 59 00 00 00 00 00 
227,Receive,15:16:38.280.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
228,Receive,15:16:38.291.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
229,Receive,15:16:38.291.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
230,Receive,15:16:38.301.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
231,Receive,15:16:38.301.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
232,Receive,15:16:38.310.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
233,Receive,15:16:38.310.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
