序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
165,接收,15:16:37.513.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e6 
166,接收,15:16:37.521.0,0x00000509,数据帧,标准帧,0x03,40 72 01 
167,接收,15:16:37.521.0,0x0000050a,数据帧,标准帧,0x03,e9 e9 e5 
168,接收,15:16:37.531.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
169,接收,15:16:37.531.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
170,接收,15:16:37.584.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
171,接收,15:16:37.584.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
172,接收,15:16:37.609.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
173,接收,15:16:37.609.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
174,接收,15:16:37.609.0,0x00000309,数据帧,标准帧,0x08,62 a7 00 46 82 3c ca ff 
175,接收,15:16:37.609.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
176,接收,15:16:37.609.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
177,接收,15:16:37.609.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
178,接收,15:16:37.680.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
179,接收,15:16:37.680.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
180,接收,15:16:37.691.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
181,接收,15:16:37.691.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
182,接收,15:16:37.700.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
183,接收,15:16:37.700.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
184,接收,15:16:37.712.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
185,接收,15:16:37.712.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
186,接收,15:16:37.781.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
187,接收,15:16:37.781.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
