Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
109,Receive,19:08:00.441.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
110,Receive,19:08:00.441.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
111,Receive,19:08:00.519.0,0x00000301,Standard,Data,0x08,6D 3C 43 3C 00 00 00 00 ,
112,Receive,19:08:00.519.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
113,Receive,19:08:00.538.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
114,Receive,19:08:00.538.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
115,Receive,19:08:00.542.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D0 FF ,
116,Receive,19:08:00.542.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
117,Receive,19:08:00.542.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
118,Receive,19:08:00.542.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
119,Receive,19:08:00.614.0,0x00000301,Standard,Data,0x08,68 3C 49 3C 00 00 00 00 ,
120,Receive,19:08:00.614.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
121,Receive,19:08:00.621.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
122,Receive,19:08:00.621.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
123,Receive,19:08:00.632.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
124,Receive,19:08:00.632.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
125,Receive,19:08:00.642.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
126,Receive,19:08:00.642.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
127,Receive,19:08:00.719.0,0x00000301,Standard,Data,0x08,68 3C 3F 3C 00 00 00 00 ,
128,Receive,19:08:00.719.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
129,Receive,19:08:00.723.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
130,Receive,19:08:00.723.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
131,Receive,19:08:00.743.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 80 3C D0 FF ,
132,Receive,19:08:00.743.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
133,Receive,19:08:00.743.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
134,Receive,19:08:00.743.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
135,Receive,19:08:00.812.0,0x00000604,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
136,Receive,19:08:00.813.0,0x00000605,Standard,Data,0x08,00 00 00 00 01 00 00 00 ,
137,Receive,19:08:00.813.0,0x00000606,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
138,Receive,19:08:00.817.0,0x00000301,Standard,Data,0x08,6D 3C 42 3C 00 00 00 00 ,
139,Receive,19:08:00.817.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
140,Receive,19:08:00.817.0,0x00000402,Standard,Data,0x08,01 00 00 00 F8 25 00 00 ,
141,Receive,19:08:00.817.0,0x00000403,Standard,Data,0x08,64 00 00 00 E3 C3 07 00 ,
142,Receive,19:08:00.823.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
143,Receive,19:08:00.823.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
144,Receive,19:08:00.823.0,0x00000405,Standard,Data,0x08,10 0C 10 0C 13 0C 14 0C ,
145,Receive,19:08:00.823.0,0x00000406,Standard,Data,0x08,07 0C 1B 0C 17 0C 14 0C ,
146,Receive,19:08:00.834.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D8 FF ,
147,Receive,19:08:00.834.0,0x0000030a,Standard,Data,0x04,5E 3C 5A 3B ,
148,Receive,19:08:00.834.0,0x00000407,Standard,Data,0x04,17 0C 1D 0C ,
149,Receive,19:08:00.834.0,0x00000408,Standard,Data,0x04,ED 08 00 00 ,
150,Receive,19:08:00.841.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
151,Receive,19:08:00.841.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
152,Receive,19:08:00.841.0,0x00000409,Standard,Data,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
153,Receive,19:08:00.841.0,0x00000506,Standard,Data,0x07,07 0C 1D 0C A5 E4 E5 ,
154,Receive,19:08:00.850.0,0x00000509,Standard,Data,0x03,3F 81 01 ,
155,Receive,19:08:00.850.0,0x0000050a,Standard,Data,0x03,E6 E6 E5 ,
156,Receive,19:08:00.863.0,0x0000050d,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
157,Receive,19:08:00.863.0,0x0000050d,Standard,Data,0x08,01 BB 03 00 00 00 00 00 ,
158,Receive,19:08:00.918.0,0x00000301,Standard,Data,0x08,6D 3C 42 3C 00 00 00 00 ,
159,Receive,19:08:00.918.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
160,Receive,19:08:00.939.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
161,Receive,19:08:00.939.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
162,Receive,19:08:00.940.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 80 3C D2 FF ,
163,Receive,19:08:00.940.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
164,Receive,19:08:00.942.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
165,Receive,19:08:00.942.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
166,Receive,19:08:01.014.0,0x00000301,Standard,Data,0x08,6D 3C 43 3C 00 00 00 00 ,
167,Receive,19:08:01.014.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
168,Receive,19:08:01.021.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
169,Receive,19:08:01.021.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
170,Receive,19:08:01.031.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
171,Receive,19:08:01.031.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
172,Receive,19:08:01.043.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
173,Receive,19:08:01.043.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
174,Receive,19:08:01.118.0,0x00000301,Standard,Data,0x08,6D 3C 44 3C 00 00 00 00 ,
175,Receive,19:08:01.118.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
176,Receive,19:08:01.121.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
177,Receive,19:08:01.121.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
178,Receive,19:08:01.142.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
179,Receive,19:08:01.142.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
180,Receive,19:08:01.145.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
181,Receive,19:08:01.145.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
182,Receive,19:08:01.213.0,0x00000301,Standard,Data,0x08,6D 3C 46 3C 00 00 00 00 ,
183,Receive,19:08:01.213.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
184,Receive,19:08:01.221.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
185,Receive,19:08:01.221.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
186,Receive,19:08:01.230.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D6 FF ,
187,Receive,19:08:01.230.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
188,Receive,19:08:01.241.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
189,Receive,19:08:01.241.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
190,Receive,19:08:01.319.0,0x00000301,Standard,Data,0x08,6D 3C 47 3C 00 00 00 00 ,
191,Receive,19:08:01.319.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
192,Receive,19:08:01.323.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
193,Receive,19:08:01.323.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
194,Receive,19:08:01.343.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
195,Receive,19:08:01.343.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
196,Receive,19:08:01.343.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
197,Receive,19:08:01.343.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
198,Receive,19:08:01.414.0,0x00000301,Standard,Data,0x08,68 3C 47 3C 00 00 00 00 ,
199,Receive,19:08:01.414.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
200,Receive,19:08:01.421.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
201,Receive,19:08:01.421.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
202,Receive,19:08:01.432.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D6 FF ,
203,Receive,19:08:01.433.0,0x0000030a,Standard,Data,0x04,5E 3C 5A 3B ,
204,Receive,19:08:01.441.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
205,Receive,19:08:01.441.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
206,Receive,19:08:01.519.0,0x00000301,Standard,Data,0x08,68 3C 43 3C 00 00 00 00 ,
207,Receive,19:08:01.519.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
208,Receive,19:08:01.523.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
209,Receive,19:08:01.523.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
210,Receive,19:08:01.543.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D0 FF ,
211,Receive,19:08:01.543.0,0x0000030a,Standard,Data,0x04,5E 3C 5A 3B ,
212,Receive,19:08:01.543.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
213,Receive,19:08:01.543.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
214,Receive,19:08:01.612.0,0x00000301,Standard,Data,0x08,68 3C 46 3C 00 00 00 00 ,
215,Receive,19:08:01.612.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
216,Receive,19:08:01.621.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
217,Receive,19:08:01.621.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
218,Receive,19:08:01.631.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D6 FF ,
219,Receive,19:08:01.631.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
220,Receive,19:08:01.640.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
221,Receive,19:08:01.641.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
222,Receive,19:08:01.715.0,0x00000301,Standard,Data,0x08,68 3C 43 3C 00 00 00 00 ,
223,Receive,19:08:01.715.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
